run_id,instance_file,run_seed,solution,benefit,first_solution,biggest_first,starting_find_temp,initial_temp,final_temp,alpha,beta,gamma,run_finding_initial_temp,start_time,time,evaluations,capacity_used,timestamp
simulated_annealing_0,input/prob-software-85-100-812-12180.txt,0,1207300777666907322266469006331,11191,random,,1000.0,1000.0, ,0.95,1.125,0.9,True,1760299603.4331758,27.25315833091736,19986,12151,2025-10-12T17:07:10.686394
simulated_annealing_1,input/prob-software-85-100-812-12180.txt,1,1227726878049296970019724286719,10486,random,,1000.0,1000.0, ,0.95,1.125,0.9,True,1760299630.687488,27.313050508499146,19996,12146,2025-10-12T17:07:38.000590
simulated_annealing_2,input/prob-software-85-100-812-12180.txt,2,1267031370394748205765169773375,10838,random,,1000.0,1000.0, ,0.95,1.125,0.9,True,1760299658.0009353,27.36140537261963,19996,12152,2025-10-12T17:08:05.362395
simulated_annealing_3,input/prob-software-85-100-812-12180.txt,3,1227727026762340263144391180031,11026,random,,1000.0,1000.0, ,0.95,1.125,0.9,True,1760299685.3628008,27.68777894973755,19997,12163,2025-10-12T17:08:33.050638
simulated_annealing_4,input/prob-software-85-100-812-12180.txt,4,1247224419473063897664593558479,10917,random,,1000.0,1000.0, ,0.95,1.125,0.9,True,1760299713.051169,27.989607572555546,20000,12128,2025-10-12T17:09:01.040870
simulated_annealing_5,input/sukp03_100_100_0.10_0.75.txt,0,1257734348266022714491187691335,10506,random,,1000.0,1000.0, ,0.95,1.125,0.9,True,1760299741.203626,30.00186562538147,18543,11210,2025-10-12T17:09:31.205545
simulated_annealing_6,input/sukp03_100_100_0.10_0.75.txt,1,949461296761701865786724712293,11816,random,,1000.0,1000.0, ,0.95,1.125,0.9,True,1760299771.2061172,30.002686262130737,17398,11207,2025-10-12T17:10:01.208940
simulated_annealing_7,input/sukp03_100_100_0.10_0.75.txt,2,1108565026796929662274812767671,10888,random,,1000.0,1000.0, ,0.95,1.125,0.9,True,1760299801.2099094,30.003263473510746,14984,11209,2025-10-12T17:10:31.213246
simulated_annealing_8,input/sukp03_100_100_0.10_0.75.txt,3,950728259647717421084716268535,12818,random,,1000.0,1000.0, ,0.95,1.125,0.9,True,1760299831.213647,30.00316071510315,17382,11208,2025-10-12T17:11:01.216864
simulated_annealing_9,input/sukp03_100_100_0.10_0.75.txt,4,945786168320333551042445441535,12585,random,,1000.0,1000.0, ,0.95,1.125,0.9,True,1760299861.217368,30.00305867195129,16525,11156,2025-10-12T17:11:31.220494
simulated_annealing_10,input/sukp06_200_200_0.10_0.75.txt,0,1600452456713890074829745418916937177619201596354614620323839,714,random,,1125.0,1125.0, ,0.95,1.125,0.9,True,1760299891.4651215,30.04075312614441,4303,25622,2025-10-12T17:12:01.506050
simulated_annealing_11,input/sukp06_200_200_0.10_0.75.txt,1,1512587269554430610613417902191969941263509683845583853123515,149,random,,1125.0,1125.0, ,0.95,1.125,0.9,True,1760299921.506718,30.02186632156372,4511,25624,2025-10-12T17:12:31.528693
simulated_annealing_12,input/sukp06_200_200_0.10_0.75.txt,2,1401362959338005573909769861387622036174388111543613831708123,1206,random,,1125.0,1125.0, ,0.95,1.125,0.9,True,1760299951.5293107,30.01962161064148,4746,25620,2025-10-12T17:13:01.549137
simulated_annealing_13,input/sukp06_200_200_0.10_0.75.txt,3,1506063055894567787164457883800880182038197601138350958017471,0,random,,1125.0,1125.0, ,0.95,1.125,0.9,True,1760299981.5496097,30.020039319992065,5030,25624,2025-10-12T17:13:31.569813
simulated_annealing_14,input/sukp06_200_200_0.10_0.75.txt,4,990212798371315307779652649089208840476616159881506173288343,133,random,,1125.0,1125.0, ,0.95,1.125,0.9,True,1760300011.5702653,30.020957231521606,4655,25613,2025-10-12T17:14:01.591351
simulated_annealing_15,input/sukp12_400_400_0.10_0.75.txt,0,2501432662826232922147697127955939528517971410691874519258410761558588868267297872068040848497172706761209702602262129406,0,random,,1125.0,1125.0, ,0.95,1.125,0.9,True,1760300042.001949,30.059998273849487,1137,49821,2025-10-12T17:14:32.062216
simulated_annealing_16,input/sukp12_400_400_0.10_0.75.txt,1,2536614021305103523950885858290912693002989484120991238302462570688203388849622531544680802540521919161448238106063764948,0,random,,1125.0,1125.0, ,0.95,1.125,0.9,True,1760300072.0627568,30.102797508239743,1137,49817,2025-10-12T17:15:02.166303
simulated_annealing_17,input/sukp12_400_400_0.10_0.75.txt,2,1815634269839547471375231460284484717008951744160926893255634222062364829020985119732340486281289229101465523069350559416,0,random,,1125.0,1125.0, ,0.95,1.125,0.9,True,1760300102.1713994,30.08283352851868,1148,49821,2025-10-12T17:15:32.254407
simulated_annealing_18,input/sukp12_400_400_0.10_0.75.txt,3,2213911218390392238195326894020067008468249570825104103942098890726215009175228247041322045610039528714069374160111238095,0,random,,1125.0,1125.0, ,0.95,1.125,0.9,True,1760300132.25479,30.06629514694214,1150,49821,2025-10-12T17:16:02.321242
simulated_annealing_19,input/sukp12_400_400_0.10_0.75.txt,4,2577200877901006809485986615448898312264847274695424932049164622031596215558648601074367305741168782619524301813623814875,0,random,,1125.0,1125.0, ,0.95,1.125,0.9,True,1760300162.3214908,30.078532457351685,1160,49813,2025-10-12T17:16:32.400285
simulated_annealing_20,input/sukp18_100_100_0.15_0.85.txt,0,1228036515426980496506999472127,12475,random,,1000.0,1000.0, ,0.95,1.125,0.9,True,1760300192.5918543,30.003531217575077,16960,15150,2025-10-12T17:17:02.595433
simulated_annealing_21,input/prob-software-85-100-812-12180.txt,0,1207300777666907322266469006331,11191,random,,1000.0,1000.0, ,0.95,1.125,0.9,True,1760305157.0328455,27.484564065933228,19986,12151,2025-10-12T18:39:44.517540
simulated_annealing_22,input/prob-software-85-100-812-12180.txt,1,1227726878049296970019724286719,10486,random,,1000.0,1000.0, ,0.95,1.125,0.9,True,1760305184.518801,27.94416570663452,19996,12146,2025-10-12T18:40:12.463015
